-1	0.007795	0.015895
0	0.008625	0.015875
5	0.016035	0.064105
10	0.017700	0.112900
15	0.026125	0.174925
20	0.015100	0.209500
25	0.005700	0.256500
30	0.007900	0.312100
35	0.013750	0.379250
40	0.029000	0.419000
45	0.012700	0.468700
50	0.004450	0.524750
55	0.019850	0.565150
60	0.010400	0.615200
65	0.013900	0.660700
70	0.010750	0.727950
75	0.020550	0.772350
80	0.023950	0.798850
85	0.012250	0.873250
90	0.017200	0.902800
95	0.015600	0.966000
100	0.023950	1.017250
